Environmental package	Structured comment name	Package item	Definition	Requirement	Expected value	Value syntax	Occurrence	Position	Preferred unit
air	ventilation_type	ventilation type	ventilation system used in the sampled premises	X	ventilation type name	{text}	1	1	
air	volatile_org_comp	volatile organic compounds	concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound	X	volatile organic compound name;measurement value	{text};{float} {unit}	m	1	microgram per cubic meter, parts per million
air	wind_direction	wind direction	wind direction is the direction from which a wind originates	X	wind direction name	{text}	1	1	
air	wind_speed	wind speed	speed of wind measured at the time of sampling	X	measurement value	{float} {unit}	1	1	meter per second, kilometer per hour
built environment	surf_material	surface material	surface materials at the point of sampling	E	enumeration	[concrete|wood|stone|tile|plastic|glass|vinyl|metal|carpet|stainless steel|paint|cinder blocks|hay bales|stucco|adobe]	1	1	
built environment	surf_air_cont	surface-air contaminant	contaminant identified on surface	E	enumeration	[dust|organic matter|particulate matter|volatile organic compounds|biological contaminants|radon|nutrients|biocides]	m	2	
built environment	rel_air_humidity	relative air humidity	partial vapor and air pressure, density of the vapor and air, or by the actual mass of the vapor and air	M	measurement value	{float} {unit} [%]	1	3	percentage
built environment	abs_air_humidity	absolute air humidity	actual mass of water vapor - mh20 - present in the air water vapor mixture	M	measurement value	{float} {unit} [kg|lb]	1	4	kilogram
built environment	surf_humidity	surface humidity	surfaces: water activity as a function of air and material moisture	E	measurement value	{float} {unit} [%]	1	5	percentage
built environment	air_temp	air temperature	temperature of the air at the time of sampling	M	measurement value	{float} {unit} [deg C]	1	6	degree Celsius
built environment	surf_temp	surface temperature	temperature of the surface at the time of sampling	E	measurement value	{float} {unit} [deg C]	1	7	degree Celsius
built environment	surf_moisture_ph	surface moisture pH 	pH measurement of surface	E	measurement value	{integer [0-14]}	1	8	
built environment	build_occup_type	building occupancy type 	the primary function for which a building or discrete part of a building is intended to be used	M	enumeration	[airport|agricultural|commercial|educational|government|health care|high rise|industrial|low rise|market|military|office|parking|residential|restaurant|school|sports complex|storage|religious|transport|high rise|wood framed]	m	9	
built environment	surf_moisture	surface moisture	water held on a surface	E	measurement value	{float} {unit}	1	10	parts per million, gram per cubic meter, gram per square meter
built environment	dew_point	dew point 	the temperature to which a given parcel of humid air must be cooled, at constant barometric pressure, for water vapor to condense into water. 	X	measurement value	{float} {unit} [deg C]	1	11	gram, millimeter
built environment	carb_dioxide	carbon dioxide	carbon dioxide (gas) amount or concentration at the time of sampling	M	measurement value	{float} {unit}	1	12	micromole per liter
built environment	ventilation_type	ventilation type	ventilation system used in the sampled premises	M	ventilation type name	{text}	1	13	
built environment	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	M	organism name;measurement value	{text};{float} {unit}	m	14	number of organism per cubic meter
built environment	indoor_space	indoor space 	a distinguishable space within a structure, the purpose for which discrete areas of a building is used	M	enumeration	[bedroom|office|bathroom|foyer|kitchen|locker room|hallway|elevator]	1	15	
built environment	indoor_surf	indoor surface	type of indoor surface	E	enumeration	[counter top|window|wall|cabinet|ceiling|door|shelving|vent cover]	1	16	
built environment	filter_type	filter type	a device which removes solid particulates or airborne molecular contaminants	M	enumeration	[chemical air filter|electrostatic air treatment|gas-phase air treatment|HEPA filter|low-MERV pleated media|particulate air filter|ultraviolet air treatment]	m	17	
built environment	heat_cool_type	heating and cooling system type	methods of conditioning or heating a room or building	M	enumeration	[radiant system|heat pump|forced air system|steam forced heat|wood stove]	m	18	
built environment	substructure_type	substructure type 	the substructure or under building is that largely hidden section of the building which is built off the foundations to the ground floor level	X	enumeration	[crawlspace|slab on grade|basement]	m	19	
built environment	building_setting	building setting	a location (geography) where a building is set	M	enumeration	[exurban|rural|suburbanlurban]	1	20	
built environment	light_type	light type	application of light to achieve some practical or aesthetic effect. Lighting includes the use of both artificial light sources such as lamps and light fixtures, as well as natural illumination by capturing daylight. Can also include absence of light	M	enumeration	[natural light|electric light|no light]	m	21	
built environment	samp_sort_meth	sample size sorting method	method by which samples are sorted	X	description of method	open face filter collecting total suspended particles, "prefilter to remove particles larger than X micrometers in diameter, where common values of X would be 10 and 2.5 full size sorting in a cascade impactor"	m	22	
built environment	space_typ_state	space typical state 	customary or normal state of the space	M	enumeration	[typical occupied|typically unoccupied]	1	23	
built environment	typ_occupant_dens	typical occupant density	customary or normal density of occupants	M	measurement value	{float}	1	24	
built environment	occup_samp	occupancy at sampling	number of occupants present at time of sample within the given space	M	measurement value	{integer}	1	25	
built environment	occupant_dens_samp	occupant density at sampling	average number of occupants at time of sampling per square footage	M	measurement value	{float}	1	26	
host-associated	alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	C	measurement value	{float} m	1	0	meter
host-associated	depth	depth	depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples	C	measurement value	{float} m	1	0	
host-associated	elev	elevation	the elevation of the sampling site as measured by the vertical distance from mean sea level	C	measurement value	{float} {unit}	1	0	meter
host-associated	host_common_name	host common name	common name of the host, e.g. human	X	common name	{text}	1	1	
host-associated	host_taxid	host taxid	NCBI taxon id of the host, e.g. 9606	X	NCBI taxon identifier	{integer}	1	2	
host-associated	host_subject_id	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	unique identifier	{text}	1	3	
host-associated	host_age	host age	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	value	{float} {unit}	1	4	year, day, hour
host-associated	host_life_stage	host life stage	description of life stage of host	X	stage	{text}	1	5	
host-associated	host_sex	host sex	physical sex of the host	X	enumeration	[male|female|neuter|hermaphrodite|not determined]	1	6	
host-associated	host_disease_stat	host disease status	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text	X	disease name or DO	{term}	m	7	
host-associated	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	8	
host-associated	host_body_habitat	host body habitat	original body habitat where the sample was obtained from	X	FMA	{term}	1	9	
host-associated	host_body_site	host body site	name of body site where the sample was obtained from	X	FMA	{term}	1	10	
host-associated	host_body_product	host body product	substance produced by the body, e.g. stool, mucus, where the sample was obtained from	X	FMA	{term}	1	11	
host-associated	host_tot_mass	host total mass	total mass of the host at collection, the unit depends on host	X	measurement value	{float} {unit}	1	12	kilogram, gram
host-associated	host_height	host height	the height of subject	X	measurement value	{float} {unit}	1	13	centimeter, millimeter, meter
host-associated	host_length	host length	the length of subject	X	measurement value	{float} {unit}	1	13	centimeter, millimeter, meter
host-associated	host_diet	host diet	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	diet type	{text}	m	14	
host-associated	host_last_meal	host last meal	content of last meal and time since feeding; can include multiple values	X	content;time interval	{text};{period}	m	15	
host-associated	host_growth_cond	host growth conditions	literature reference giving growth conditions of the host	X	PMID,DOI,url or free text	{PMID|DOI|URL}	1	16	
host-associated	host_substrate	host substrate	the growth substrate of the host 	X	substrate name	{text}	1	17	
host-associated	host_family_relationship	host family relationship	relationships to other hosts in the same study; can include multiple relationships	X	relationship type;arbitrary identifier	{text};{text}	m	18	
host-associated	host_infra_specific_name	host infra-specific name	taxonomic information about the host below subspecies level	X	name	{text}	1	19	
host-associated	host_infra_specific_rank	host infra-specific rank	taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.	X	rank	{text}	1	20	
host-associated	host_genotype	host genotype	observed genotype	X	genotype	{text}	1	21	
host-associated	host_phenotype	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO	X	PATO	{term}	1	22	
host-associated	host_body_temp	host body temperature	core body temperature of the host when sample was collected	X	measurement value	{float} {unit}	1	23	degree Celsius
host-associated	host_dry_mass	host dry mass	measurement of dry mass	X	measurement value	{float} {unit}	1	24	kilogram, gram
host-associated	host_blood_press_diast	host blood pressure diastolic	resting diastolic blood pressure, measured as mm mercury	X	measurement value	{float} {unit}	1	25	millimeter mercury
host-associated	host_blood_press_syst	host blood pressure systolic	resting systolic blood pressure, measured as mm mercury	X	measurement value	{float} {unit}	1	26	millimeter mercury
host-associated	host_color	host color	the color of host	X	color	{text}	1	27	
host-associated	host_shape	host shape	morphological shape of host 	X	shape	{text}	1	28	
host-associated	gravidity	gravidity	whether or not subject is gravid, and if yes date due or date post-conception, specifying which is used	X	gravidity status;timestamp	{boolean};{timestamp}	1	29	
host-associated	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	30	
host-associated	samp_salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	X	measurement value	{float} {unit}	1	31	practical salinity unit, percentage
host-associated	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	32	
host-associated	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	33	degree Celsius
host-associated	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	34	number of organism per cubic meter
host-associated	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	35	millliter, gram, milligram
host-associated	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	36	degree Celsius
host-associated	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	37	
host-associated	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	38	
host-associated	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	39	
human-associated	host_subject_id	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	unique identifier	{text}	1	1	
human-associated	host_age	host age	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	value	{float} {unit}	1	2	year, day, hour
human-associated	host_sex	host sex	physical sex of the host	X	enumeration	[male|female|neuter|hermaphrodite|not determined]	1	3	
human-associated	host_disease_stat	host disease status	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text	X	disease name or DO	{term}	m	4	
human-associated	ihmc_medication_code	IHMC medication code	can include multiple medication codes	X	IHMC code	{integer}	m	5	
human-associated	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	6	
human-associated	host_body_site	host body site	name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	7	
human-associated	host_body_product	host body product	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	8	
human-associated	host_tot_mass	host total mass	total mass of the host at collection, the unit depends on host	X	measurement value	{float} {unit}	1	9	kilogram, gram
human-associated	host_height	host height	the height of subject	X	measurement value	{float} {unit}	1	10	centimeter, millimeter, meter
human-associated	host_diet	host diet	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	diet type	{text}	m	11	
human-associated	host_last_meal	host last meal	content of last meal and time since feeding; can include multiple values	X	content;time interval	{text};{period}	m	12	
human-associated	host_family_relationship	host family relationship	relationships to other hosts in the same study; can include multiple relationships	X	relationship type;arbitrary identifier	{text};{text}	m	13	
human-associated	host_genotype	host genotype	observed genotype	X	genotype	{text}	1	14	
human-associated	host_phenotype	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO	X	PATO	{term}	1	15	
human-associated	host_body_temp	host body temperature	core body temperature of the host when sample was collected	X	measurement value	{float} {unit}	1	16	degree Celsius
human-associated	smoker	smoker	specification of smoking status	X	smoking status	{boolean}	1	17	
human-associated	host_hiv_stat	host HIV status	HIV status of subject, if yes HAART initiation status should also be indicated as [YES or NO]	X	HIV status;HAART initiation status	{boolean};{boolean}	1	18	
human-associated	drug_usage	drug usage	any drug used by subject and the frequency of usage; can include multiple drugs used	X	drug name;frequency	{text};{integer}/[year|month|week|day|hour]	m	19	
human-associated	host_body_mass_index	host body-mass index	body mass index, calculated as weight/(height)squared	X	measurement value	{float} {unit}	1	20	kilogram per square meter
human-associated	diet_last_six_month	major diet change in last six months	specification of major diet changes in the last six months, if yes the change should be specified	X	diet change;current diet	{boolean};{text}	1	21	
human-associated	weight_loss_3_month	weight loss in last three months	specification of weight loss in the last three months, if yes should be further specified to include amount of weight loss	X	weight loss specification;measurement value	{boolean};{float} {unit}	1	22	kilogram, gram
human-associated	ihmc_ethnicity	IHMC ethnicity	ethnicity of the subject	X	IHMC code or free text	{integer|text}	1	23	
human-associated	host_occupation	host occupation	most frequent job performed by subject	X	IHMC code	{integer}	1	24	
human-associated	pet_farm_animal	presence of pets or farm animals	specification of presence of pets or farm animals in the environment of subject, if yes the animals should be specified; can include multiple animals present	X	presence status;type of animal or pet	{boolean};{text}	m	25	
human-associated	travel_out_six_month	travel outside the country in last six months	specification of the countries travelled in the last six months; can include multiple travels	X	country name	{text}	m	26	
human-associated	twin_sibling	twin sibling presence	specification of twin sibling presence	X	presence status	{boolean}	1	27	
human-associated	medic_hist_perform	medical history performed	whether full medical history was collected	X	true or false	{boolean}	1	28	
human-associated	study_complt_stat	study completion status	specification of study completion status, if no the reason should be specified	X	YES or NO due to (1)adverse event (2) non-compliance (3) lost to follow up (4)other-specify	{boolean};[adverse event|non-compliance|lost to follow up|other-specify]	1	29	
human-associated	pulmonary_disord	lung/pulmonary disorder	history of pulmonary disorders; can include multiple disorders	X	disorder name	{text}	m	30	
human-associated	nose_throat_disord	lung/nose-throat disorder	history of nose-throat disorders; can include multiple disorders	X	disorder name	{text}	m	31	
human-associated	blood_blood_disord	blood/blood disorder	history of blood disorders; can include multiple disorders	X	disorder name	{text}	m	32	
human-associated	host_pulse	host pulse	resting pulse, measured as beats per minute	X	measurement value	{float} {unit}	1	35	beats per minute
human-associated	gestation_state	amniotic fluid/gestation state	specification of the gestation state	X	gestation state	{text}	1	36	
human-associated	maternal_health_stat	amniotic fluid/maternal health status	specification of the maternal health status	X	health status	{text}	1	37	
human-associated	foetal_health_stat	amniotic fluid/foetal health status	specification of foetal health status, should also include abortion	X	health status	{text}	1	38	
human-associated	amniotic_fluid_color	amniotic fluid/color	specification of the color of the amniotic fluid sample	X	color	{text}	1	39	
human-associated	kidney_disord	urine/kidney disorder	history of kidney disorders; can include multiple disorders	X	disorder name	{text}	m	40	
human-associated	urogenit_tract_disor	urine/urogenital tract disorder	history of urogenitaltract disorders; can include multiple disorders	X	disorder name	{text}	m	41	
human-associated	urine_collect_meth	urine/collection method	specification of urine collection method	X	enumeration	[clean catch|catheter]	1	43	
human-associated	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	44	
human-associated	samp_salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	X	measurement value	{float} {unit}	1	45	practical salinity unit, percentage
human-associated	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	46	
human-associated	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	47	degree Celsius
human-associated	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	48	number of organism per cubic meter
human-associated	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	49	millliter, gram, milligram
human-associated	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	50	degree Celsius
human-associated	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	51	
human-associated	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	52	
human-associated	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	53	
human-gut	gastrointest_disord	gastrointestinal tract disorder	history of gastrointestinal tract disorders; can include multiple disorders 	X	disorder name	{text}	m	1	
human-gut	liver_disord	liver disorder	history of liver disorders; can include multiple disorders	X	disorder name	{text}	m	2	
human-gut	special_diet	special diet	specification of special diet; can include multiple special diets	X	enumeration	[low carb|reduced calorie|vegetarian|other(to be specified)]	m	3	
human-gut	host_subject_id	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	unique identifier	{text}	1	4	
human-gut	host_age	host age	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	value	{float} {unit}	1	5	year, day, hour
human-gut	host_sex	host sex	physical sex of the host	X	enumeration	[male|female|neuter|hermaphrodite|not determined]	1	6	
human-gut	host_disease_stat	host disease status	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text	X	disease name or DO	{term}	m	7	
human-gut	ihmc_medication_code	IHMC medication code	can include multiple medication codes	X	IHMC code	{integer}	m	8	
human-gut	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	9	
human-gut	host_body_site	host body site	name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	10	
human-gut	host_body_product	host body product	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	11	
human-gut	host_tot_mass	host total mass	total mass of the host at collection, the unit depends on host	X	measurement value	{float} {unit}	1	12	kilogram, gram
human-gut	host_height	host height	the height of subject	X	measurement value	{float} {unit}	1	13	centimeter, millimeter, meter
human-gut	host_diet	host diet	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	diet type	{text}	m	14	
human-gut	host_last_meal	host last meal	content of last meal and time since feeding; can include multiple values	X	content;time interval	{text};{period}	m	15	
human-gut	host_family_relationship	host family relationship	relationships to other hosts in the same study; can include multiple relationships	X	relationship type;arbitrary identifier	{text};{text}	m	16	
human-gut	host_genotype	host genotype	observed genotype	X	genotype	{text}	1	17	
human-gut	host_phenotype	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO	X	PATO	{term}	1	18	
human-gut	host_body_temp	host body temperature	core body temperature of the host when sample was collected	X	measurement value	{float} {unit}	1	19	degree Celsius
human-gut	host_body_mass_index	host body-mass index	body mass index, calculated as weight/(height)squared	X	measurement value	{float} {unit}	1	20	kilogram per square meter
human-gut	ihmc_ethnicity	IHMC ethnicity	ethnicity of the subject	X	IHMC code or free text	{integer|text}	1	21	
human-gut	host_occupation	host occupation	most frequent job performed by subject	X	IHMC code	{integer}	1	22	
human-gut	medic_hist_perform	medical history performed	whether full medical history was collected	X	true or false	{boolean}	1	23	
human-gut	host_pulse	host pulse	resting pulse, measured as beats per minute	X	measurement value	{float} {unit}	1	26	beats per minute
human-gut	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	27	
human-gut	samp_salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	X	measurement value	{float} {unit}	1	28	practical salinity unit, percentage
human-gut	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	29	
human-gut	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	30	degree Celsius
human-gut	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	31	number of organism per cubic meter
human-gut	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	32	degree Celsius
human-gut	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	32	millliter, gram, milligram
human-gut	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	33	
human-gut	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	34	
human-gut	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	35	
human-oral	nose_mouth_teeth_throat_disord	nose/mouth/teeth/throat disorder	history of nose/mouth/teeth/throat disorders; can include multiple disorders	X	disorder name	{text}	m	1	
human-oral	time_last_toothbrush	time since last toothbrushing	specification of the time since last toothbrushing	X	timestamp	{timestamp}	1	2	
human-oral	host_subject_id	host subject id	a unique identifier by which each subject can be referred to, de-identified, e.g. #131	X	unique identifier	{text}	1	3	
human-oral	host_age	host age	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	value	{float} {unit}	1	4	year, day, hour
human-oral	host_sex	host sex	physical sex of the host	X	enumeration	[male|female|neuter|hermaphrodite|not determined]	1	5	
human-oral	host_disease_stat	host disease status	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text	X	disease name or DO	{term}	m	6	
human-oral	ihmc_medication_code	IHMC medication code	can include multiple medication codes	X	IHMC code	{integer}	m	7	
human-oral	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	8	
human-oral	host_body_site	host body site	name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	9	
human-oral	host_body_product	host body product	substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA	X	FMA	{term}	1	10	
human-oral	host_tot_mass	host total mass	total mass of the host at collection, the unit depends on host	X	measurement value	{float} {unit}	1	11	kilogram, gram
human-oral	host_height	host height	the height of subject	X	measurement value	{float} {unit}	1	12	centimeter, millimeter, meter
human-oral	host_diet	host diet	type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types	X	diet type	{text}	m	13	
human-oral	host_last_meal	host last meal	content of last meal and time since feeding; can include multiple values	X	content;time interval	{text};{period}	m	14	
human-oral	host_family_relationship	host family relationship	relationships to other hosts in the same study; can include multiple relationships	X	relationship type;arbitrary identifier	{text};{text}	m	15	
